"","season","offense_completion_percentage","defense_completion_percentage","points_scored","points_allowed","score_differential"
"1",1999,47.7462437395659,0.557251908396947,245,382,-137
"2",1999,50.3663003663004,0.541082164328657,285,380,-95
"3",1999,45.2079566003617,0.494915254237288,324,277,47
"4",1999,54.0489642184558,0.49721706864564,320,229,91
"5",1999,55.1612903225806,0.549319727891157,421,381,40
"6",1999,56.1181434599156,0.571895424836601,272,341,-69
"7",1999,49.8310810810811,0.560578661844485,283,460,-177
"8",1999,48.9010989010989,0.598901098901099,217,437,-220
"9",1999,55.984555984556,0.512237762237762,352,276,76
"10",1999,54.5927209705373,0.526522593320236,314,318,-4
"11",1999,52.520325203252,0.570967741935484,322,323,-1
"12",1999,53.870458135861,0.536412078152753,357,341,16
"13",1999,60.1083032490975,0.541806020066889,423,333,90
"14",1999,56.140350877193,0.501754385964912,396,217,179
"15",1999,56.3218390804598,0.51227495908347,390,322,68
"16",1999,61.2204724409449,0.497504159733777,526,242,284
"17",1999,52.6570048309179,0.539655172413793,269,316,-47
"18",1999,53.8053097345133,0.518324607329843,390,329,61
"19",1999,52.4350649350649,0.495126705653022,326,336,-10
"20",1999,55.9352517985612,0.576323987538941,399,335,64
"21",1999,51.1824324324324,0.523297491039427,299,284,15
"22",1999,48.2112436115843,0.544090056285178,260,434,-174
"23",1999,54.6875,0.540037243947859,299,358,-59
"24",1999,52.8599605522682,0.537162162162162,308,309,-1
"25",1999,45.0676982591876,0.535773710482529,272,357,-85
"26",1999,52.4647887323943,0.492929292929293,317,320,-3
"27",1999,51.3513513513513,0.516393442622951,338,298,40
"28",1999,54.5918367346939,0.580110497237569,295,453,-158
"29",1999,54.8453608247423,0.496688741721854,270,235,35
"30",1999,55.045871559633,0.504950495049505,392,324,68
"31",1999,56.9148936170213,0.523424878836834,443,377,66
"32",2000,53.516295025729,0.616842105263158,210,443,-233
"33",2000,49.2982456140351,0.55637707948244,252,413,-161
"34",2000,52.2058823529412,0.526978417266187,333,165,168
"35",2000,52.5846702317291,0.54251012145749,315,350,-35
"36",2000,53.525641025641,0.604852686308492,310,310,0
"37",2000,52.8998242530756,0.584805653710247,216,355,-139
"38",2000,41.2825651302605,0.5625,185,359,-174
"39",2000,53.57833655706,0.497120921305182,161,419,-258
"40",2000,52.4109014675053,0.577731092436975,294,361,-67
"41",2000,58.6148648648649,0.500821018062397,485,369,116
"42",2000,50.3676470588235,0.541592920353982,307,307,0
"43",2000,54.4303797468354,0.51965811965812,353,323,30
"44",2000,60.2389078498293,0.552028218694885,429,326,103
"45",2000,55.7788944723618,0.515151515151515,367,327,40
"46",2000,55,0.608303249097473,355,354,1
"47",2000,59.4594594594595,0.548780487804878,540,471,69
"48",2000,49.053356282272,0.542649727767695,269,440,-171
"49",2000,56.2753036437247,0.560897435897436,479,299,180
"50",2000,53.6992840095465,0.495274102079395,323,226,97
"51",2000,58.0952380952381,0.601317957166392,397,371,26
"52",2000,53.3661740558292,0.55731922398589,276,338,-62
"53",2000,54.9905838041431,0.513661202185792,354,305,49
"54",2000,56.0798548094374,0.517515923566879,328,246,82
"55",2000,53.858024691358,0.476449275362319,321,321,0
"56",2000,53.2467532467533,0.522689075630252,351,245,106
"57",2000,45.0733752620545,0.501805054151625,321,255,66
"58",2000,55.4744525547445,0.596078431372549,320,405,-85
"59",2000,60.3015075376884,0.533219761499148,388,422,-34
"60",2000,50,0.519440124416796,388,269,119
"61",2000,58.2463465553236,0.46615087040619,346,191,155
"62",2000,58.2905982905983,0.498,281,269,12
"63",2001,54.7747747747748,0.588132635253054,295,343,-48
"64",2001,50.5454545454545,0.59963768115942,291,377,-86
"65",2001,53.3333333333333,0.535,303,265,38
"66",2001,53.6945812807882,0.583162217659138,265,420,-155
"67",2001,51.0569105691057,0.566666666666667,253,410,-157
"68",2001,58.0110497237569,0.546153846153846,338,203,135
"69",2001,51.0301109350238,0.552397868561279,226,309,-83
"70",2001,53.9651837524178,0.517587939698492,285,319,-34
"71",2001,46.9798657718121,0.556201550387597,246,338,-92
"72",2001,56.1151079136691,0.555956678700361,340,339,1
"73",2001,50.367107195301,0.571428571428572,270,424,-154
"74",2001,58.8014981273408,0.5328125,390,266,124
"75",2001,59.4548551959114,0.563405797101449,413,486,-73
"76",2001,53.6789297658863,0.601018675721562,294,286,8
"77",2001,52.8169014084507,0.565965583173996,320,344,-24
"78",2001,63.8047138047138,0.534013605442177,503,273,230
"79",2001,53.6458333333333,0.548442906574394,332,321,11
"80",2001,62.7586206896552,0.506993006993007,399,327,72
"81",2001,57.2916666666667,0.51984126984127,344,290,54
"82",2001,55.4635761589404,0.570588235294118,290,390,-100
"83",2001,57.8449905482042,0.506779661016949,371,272,99
"84",2001,50.9771986970684,0.547244094488189,333,409,-76
"85",2001,54.1390728476821,0.523725834797891,294,321,-27
"86",2001,56.0824742268041,0.569090909090909,308,295,13
"87",2001,53.3807829181495,0.51063829787234,343,208,135
"88",2001,56.3786008230453,0.507745266781411,352,212,140
"89",2001,50.390625,0.564059900166389,301,324,-23
"90",2001,59.5505617977528,0.550580431177446,409,282,127
"91",2001,56.386292834891,0.508379888268157,324,280,44
"92",2001,54.6263345195729,0.554054054054054,336,388,-52
"93",2001,49.7881355932203,0.526104417670683,256,303,-47
